"Date","Taux"
"2006T1",18.9
"2006T2",17.1
"2006T3",20.7
"2006T4",21.4
"2007T1",20.2
"2007T2",20.6
"2007T3",21.7
"2007T4",20.9
"2008T1",20.8
"2008T2",18.6
"2008T3",21.1
"2008T4",18.4
"2009T1",18.8
"2009T2",16
"2009T3",21.5
"2009T4",17.9
"2010T1",18.2
"2010T2",16
"2010T3",19.4
"2010T4",19
"2011T1",18.1
"2011T2",18.9
"2011T3",19.7
"2011T4",20.8
"2012T1",18.7
"2012T2",17.6
"2012T3",20.3
"2012T4",19
"2013T1",19.6
"2013T2",18.6
"2013T3",18.1
"2013T4",19.8
"2014T1",20.9
"2014T2",20.3
"2014T3",20
"2014T4",21.5
"2015T1",19.9
"2015T2",20.8
"2015T3",21
"2015T4",22.6
"2016T1",21.8
"2016T2",20.4
"2016T3",22.3
"2016T4",23.4
"2017T1",24.4
"2017T2",21.8
"2017T3",23.5
"2017T4",24.5
"2018T1",25.4
"2018T2",22.2
"2018T3",22.1
"2018T4",22.4
"2019T1",23.5
"2019T2",20
"2019T3",20.6
"2019T4",23.4
"2020T1",23.8
"2020T2",22.3
"2020T3",23.5
"2020T4",26.2
"2021T1",26.2
"2021T2",25.3
"2021T3",25.7
"2021T4",26.8
"2022T1",26.7
"2022T2",23.9
"2022T3",25.5
"2022T4",27.6
"2023T1",25.8
"2023T2",25
"2023T3",26.2
"2023T4",26.8
"2024T1",25.7
"2024T2",25
"2024T3",26.2
"2024T4",25.9
"2025T1",24.4
"2025T2",24.6
"2025T3",25.7
"2025T4",25.7
